MAR,SCHL,SEX,RAC1P,WKWN,WKHP,AGEP,WAGP
2,21,2,1,,,93,0
1,21,1,1,,,77,0
3,17,2,9,,,51,0
5,19,1,9,52,40,40,32000
5,16,1,1,52,46,21,8800
5,18,2,6,,,18,0
5,19,1,9,20,10,19,700
5,20,1,1,,,58,0
2,20,1,1,,,93,0
5,17,1,9,4,40,19,2500
5,18,1,1,16,20,19,14000
1,16,2,1,,,78,0
5,23,1,1,,,77,0
2,16,1,1,,,85,0
3,18,1,1,,,63,0
5,19,2,1,33,12,20,6900
5,22,1,1,,,68,0
5,18,1,1,5,12,19,0
1,16,1,1,52,40,32,360
5,12,1,1,,,15,0
5,14,2,1,,,23,0
5,10,1,8,,,14,
1,16,1,2,52,40,55,8500
5,19,2,1,,,20,0
4,18,1,1,,,38,0
5,16,1,1,10,40,44,6400
5,20,1,5,,,32,0
5,18,1,6,1,4,18,400
3,21,1,1,,,85,0
3,19,2,1,,,62,0
5,19,2,6,6,8,22,1300
2,19,2,1,,,79,0
2,16,2,1,,,80,0
5,16,1,1,,,67,0
5,18,2,1,16,15,19,2500
5,22,1,1,,,68,0
2,19,2,1,,,65,0
5,16,1,1,4,30,18,3200
5,21,1,1,44,25,54,13500
1,19,1,1,,,76,0
5,11,1,8,,,15,0
5,12,1,1,,,59,0
2,16,2,1,,,93,0
3,17,2,1,,,55,0
2,19,2,1,,,70,0
5,19,1,1,52,70,24,22000
5,1,2,1,,,85,0
5,18,2,9,52,40,21,18000
2,22,2,1,,,71,0
5,13,1,1,8,40,35,5100
2,14,2,1,,,93,0
5,21,2,1,,,61,0
1,22,2,1,42,45,40,50000
1,16,2,1,,,26,0
5,15,1,6,3,5,18,2000
3,16,1,1,,,36,0
5,19,2,6,9,20,19,1200
5,17,1,1,,,35,0
5,18,1,8,,,43,0
1,19,1,1,,,82,0
5,18,1,1,22,20,19,6700
5,19,1,1,12,15,18,1800
3,20,1,1,,,52,0
5,18,1,1,,,19,0
5,16,1,1,,,35,0
5,16,2,8,2,8,18,4300
5,16,2,1,,,59,0
3,17,1,1,,,62,0
5,19,1,9,52,40,40,32000
5,18,1,8,52,40,20,29000
5,16,1,1,52,46,21,8800
5,20,2,2,16,10,21,4000
2,10,1,1,,,93,0
5,16,1,1,52,40,22,20000
3,16,2,6,,,81,0
5,19,2,6,1,6,19,890
2,19,2,1,,,65,0
5,17,1,2,52,40,37,54000
5,23,1,1,,,77,0
5,16,2,9,,,36,0
1,19,2,1,,,67,0
1,22,1,1,,,93,0
5,16,2,1,1,32,18,3500
3,18,1,1,,,45,0
5,17,1,1,,,30,0
3,17,2,1,,,43,0
5,19,1,2,26,40,23,19100
5,16,1,1,,,23,0
3,22,2,1,,,74,0
5,21,1,9,52,40,24,22000
5,16,1,6,52,24,18,3400
5,18,1,1,52,40,27,27800
5,16,1,5,24,40,18,13800
5,18,2,6,52,10,18,6000
1,16,1,1,,,82,0
1,21,1,9,,,84,0
5,16,1,9,,,36,0
5,21,1,2,,,40,0
5,19,1,9,,,19,0
5,16,1,6,4,30,20,14000
5,18,1,1,,,62,0
5,21,2,1,,,66,0
2,16,2,1,,,81,0
5,18,1,1,8,18,19,5000
2,16,1,1,,,70,0
5,23,1,1,,,77,0
5,17,1,2,,,21,0
3,19,1,1,,,55,0
3,19,2,6,,,72,0
1,20,2,2,52,9,22,10000
5,21,1,9,52,40,24,22000
5,3,1,1,,,6,
5,16,1,1,52,20,21,16000
5,19,2,1,25,12,19,7100
5,19,1,1,,,66,0
5,19,2,6,,,20,0
2,19,2,1,,,79,0
5,3,1,1,,,6,
5,16,2,9,1,12,18,3400
5,22,2,1,40,45,39,58000
2,10,1,1,,,93,0
5,16,1,2,1,40,18,9900
5,6,2,1,,,82,0
5,16,1,1,,,29,0
5,16,2,8,52,60,24,22000
5,19,2,1,12,40,20,9000
5,16,1,2,5,4,19,0
5,17,1,6,,,57,0
5,18,2,2,,,18,0
5,18,1,1,,,30,0
5,19,1,1,,,30,0
3,20,1,1,52,30,79,12000
4,17,1,1,,,33,0
2,21,2,1,,,93,0
3,19,1,9,,,56,0
2,19,2,1,,,79,0
3,21,1,1,,,87,0
5,21,2,5,52,40,23,20600
